,City,Rating,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two
20936,New Delhi,3.9,2639,3,Yes,Yes,1100
20937,New Delhi,4.4,2826,4,No,No,6500
20938,New Delhi,4.1,826,3,Yes,Yes,1400
20939,New Delhi,4.1,1653,3,No,No,1000
20940,Gurgaon,3.8,1317,3,No,Yes,1500
20941,New Delhi,4.1,1384,2,Yes,Yes,700
20942,New Delhi,4.4,2777,3,No,No,1500
20943,New Delhi,4.3,3986,2,No,No,600
20944,New Delhi,4.1,3164,3,No,No,1600
20945,New Delhi,4.1,2514,3,No,No,1500
20946,New Delhi,2.9,14,2,No,No,500
20947,New Delhi,3.0,11,1,No,No,450
20948,New Delhi,2.8,14,1,No,No,350
20949,New Delhi,3.1,14,2,No,No,600
20950,New Delhi,3.0,12,1,No,No,350
20951,New Delhi,0,0,1,No,No,400
20952,New Delhi,2.8,16,1,No,No,200
20953,New Delhi,3.0,8,2,No,No,600
20954,New Delhi,3.0,5,2,No,No,800
20955,New Delhi,2.7,14,1,No,No,200
20956,New Delhi,2.8,12,1,No,No,300
20957,New Delhi,0,2,1,No,No,450
20958,New Delhi,2.7,10,1,No,No,100
20959,New Delhi,2.9,8,2,No,No,700
20960,New Delhi,2.9,5,1,No,No,300
20961,New Delhi,2.9,9,2,No,No,500
20962,New Delhi,2.9,4,2,No,No,700
20963,New Delhi,0,2,2,No,No,700
20964,New Delhi,3.0,7,1,No,No,250
20965,New Delhi,0,2,1,No,No,150
20966,New Delhi,2.8,120,2,Yes,No,800
20967,New Delhi,3.5,168,3,No,Yes,1500
20968,New Delhi,3.1,151,2,No,Yes,850
20969,New Delhi,3.6,114,1,No,No,100
20970,New Delhi,2.4,137,2,Yes,No,550
20971,New Delhi,3.2,115,2,Yes,No,500
20972,New Delhi,3.9,38,3,No,No,1500
20973,New Delhi,2.8,138,2,No,No,550
20974,New Delhi,3.6,116,2,Yes,No,500
20975,New Delhi,2.6,146,2,Yes,No,600
20976,New Delhi,4.1,71,1,No,No,400
20977,New Delhi,3.2,134,2,Yes,No,600
20978,New Delhi,3.2,159,2,No,No,500
20979,New Delhi,2.1,112,1,Yes,No,450
20980,New Delhi,3.5,99,2,Yes,Yes,850
20981,New Delhi,3.8,75,2,Yes,No,650
20982,New Delhi,3.7,99,2,Yes,No,500
20983,New Delhi,3.5,104,3,Yes,Yes,1500
20984,New Delhi,4.0,40,3,No,Yes,1600
20985,New Delhi,2.4,109,1,Yes,No,300
20986,New Delhi,3.7,84,1,No,No,250
20987,New Delhi,3.3,75,3,Yes,Yes,1000
20988,New Delhi,3.5,22,4,No,Yes,2100
20989,New Delhi,2.6,70,2,No,No,750
20990,New Delhi,2.8,78,1,Yes,No,350
20991,New Delhi,3.3,70,1,Yes,No,300
20992,New Delhi,3.7,48,1,No,No,400
20993,New Delhi,3.6,76,1,No,No,250
20994,New Delhi,3.0,67,1,Yes,No,300
20995,New Delhi,4.0,51,2,Yes,No,500
20996,New Delhi,3.4,58,4,No,Yes,2000
20997,New Delhi,3.6,66,1,No,No,200
20998,New Delhi,3.6,56,1,Yes,No,300
20999,New Delhi,3.5,24,1,Yes,No,400
21000,New Delhi,3.0,9,4,No,Yes,2700
21001,New Delhi,3.4,36,1,No,No,200
21002,New Delhi,3.6,38,2,No,No,600
21003,New Delhi,3.5,27,1,Yes,No,300
21004,New Delhi,3.3,19,1,No,No,400
21005,New Delhi,3.1,26,1,No,No,250
21006,New Delhi,3.9,1756,3,Yes,Yes,1900
21007,New Delhi,3.3,1363,3,No,No,1200
21008,New Delhi,3.9,93,3,No,Yes,1200
21009,New Delhi,3.8,637,3,No,Yes,1600
21010,New Delhi,4.1,647,2,Yes,Yes,900
21011,New Delhi,4.4,541,3,Yes,Yes,1300
21012,New Delhi,3.5,884,4,No,No,2400
21013,New Delhi,3.4,763,3,Yes,Yes,1900
21014,New Delhi,3.3,704,3,No,Yes,1600
21015,New Delhi,3.7,622,4,No,Yes,2300
21016,New Delhi,4.2,278,4,No,Yes,2200
21017,New Delhi,3.9,454,1,Yes,No,400
21018,New Delhi,3.8,567,3,No,Yes,1800
21019,New Delhi,4.2,420,3,Yes,Yes,1800
21020,New Delhi,3.9,552,3,Yes,No,1200
21021,New Delhi,3.7,489,2,Yes,No,800
21022,New Delhi,3.7,379,3,No,Yes,1200
21023,New Delhi,4.2,542,1,No,No,200
21024,New Delhi,3.5,384,3,Yes,Yes,1200
